midx,mom_tercile,max_tercile,ew_ret,n
23723,1,3,0.07862566794097411,11
23723,2,1,0.04498296024386095,12
23723,2,2,0.0682435511597856,9
23723,2,3,0.05038964904336962,7
23723,3,1,0.07529157619033362,9
23723,3,2,0.041334856698368186,9
23723,3,3,0.07653808118312007,10
23724,1,1,-0.03315042101166902,8
23724,1,2,-0.1041647691876759,10
23724,1,3,-0.07630900564138751,11
23724,2,1,-0.012189810777382269,11
23724,2,2,-0.01540589264079939,8
23724,2,3,-0.03113463190899019,10
23724,3,1,-0.03548379330871671,10
23724,3,2,-0.03656629507621094,11
23724,3,3,-0.025724213450693464,8
23725,1,1,-0.016252122543095215,6
23725,1,2,-0.019041618165508534,9
23725,1,3,-0.017385322622054732,14
23725,2,1,-0.029605233360797106,14
23725,2,2,-0.028990684168906267,7
23725,2,3,0.005600652984968896,8
23725,3,1,-0.02430100624209467,9
23725,3,2,-1.185870678102714e-4,13
23725,3,3,-0.023779776968407593,7
23726,1,1,0.007594698099414224,8
23726,1,2,-0.007724717372085587,13
23726,1,3,-0.023485667726607096,8
23726,2,1,-0.007693433410112277,12
23726,2,2,-0.009244735796042104,9
23726,2,3,0.008714087178168003,8
23726,3,1,0.016216080314757284,9
23726,3,2,-0.015257843221757305,7
23726,3,3,0.017931082640902447,13
23727,1,1,-0.01328341213377664,5
23727,1,2,-0.01299154012076633,11
23727,1,3,-0.01939837964925282,13
23727,2,1,0.025690708277385555,10
23727,2,2,5.625727223743588e-4,12
23727,2,3,-0.01855623071613331,7
23727,3,1,0.008037575161782905,14
23727,3,2,0.024919300574270886,6
23727,3,3,0.044244413212354096,9
23728,1,1,0.014364541969579064,4
23728,1,2,-0.03238282213649986,10
23728,1,3,0.020088195679780717,15
23728,2,1,-0.005990207338831881,11
23728,2,2,-0.008741055944514589,12
23728,2,3,0.03407841582553063,6
23728,3,1,0.008767619724953412,14
23728,3,2,0.00456657426207217,7
23728,3,3,0.06451240544236711,8
23729,1,1,0.05029791886991789,10
23729,1,2,0.04062728690288424,5
23729,1,3,0.05605892930619298,14
23729,2,1,0.020855697815046315,6
23729,2,2,0.04492390984743993,14
23729,2,3,0.09982796009678838,9
23729,3,1,0.03984380186674671,13
23729,3,2,0.058881714190555955,10
23729,3,3,0.06591360085943744,6
23730,1,1,-0.049733235675821864,6
23730,1,2,0.017331768490153256,9
23730,1,3,-0.015667253615898397,14
23730,2,1,-0.0050890923645776215,8
23730,2,2,0.0031175932534768572,14
23730,2,3,0.019048867008683957,7
23730,3,1,0.0017457330223106836,15
23730,3,2,-0.02249290145808961,6
23730,3,3,-1.0973951908735402e-4,8
23731,1,1,-0.031353535571573866,3
23731,1,2,0.02026566080630259,10
23731,1,3,0.017036351150642795,16
